id,nombre,operador,estado,municipio,departamento,latitud,longitud,tipoGeneracion
1,MERILECTRICA,CELSIA COLOMBIA S.A. E.S.P.,Operación,BARRANCABERMEJA,SANTANDER,7.048,-73.858,Térmica
2,SOGAMOSO,ISAGEN S.A. E.S.P.,Operación,GIRÓN,SANTANDER,6.92,-73.75,Hidroeléctrica
3,ECOPARQUE SOLAR LA CIRA,ISAGEN S.A. E.S.P.,Pruebas,BARRANCABERMEJA,SANTANDER,7.054,-73.841,Solar
4,GD ALEJANDRIA I,PROELECTRICA S.A.S E.S.P.,Operación,SABANA DE TORRES,SANTANDER,7.395,-73.496,Solar
5,GD ALEJANDRIA II,PROELECTRICA S.A.S E.S.P.,Operación,SABANA DE TORRES,SANTANDER,7.3955,-73.4965,Solar
6,GD ALEJANDRIA III,PROELECTRICA S.A.S E.S.P.,Operación,SABANA DE TORRES,SANTANDER,7.396,-73.497,Solar
7,GD MGS 0013 LA MESA,UNERGY ENERGY DIGITAL S.A.S E.S.P,Operación,LOS SANTOS,SANTANDER,6.781,-73.181,Solar
8,GD PXV I,ES INVEST COLOMBIA S.A.S. ESP,Operación,BARRANCABERMEJA,SANTANDER,7.056,-73.842,Solar
9,GD PXV IV,ES INVEST COLOMBIA S.A.S. ESP,Operación,BARRANCABERMEJA,SANTANDER,7.0565,-73.8425,Solar
10,GD SABANA DE TORRES,SANTA FE ENERGY ZOMAC S.A.S. E.S.P.,Pruebas,SABANA DE TORRES,SANTANDER,7.398,-73.4975,Solar
11,MINIGRANJA EL OLIMPO,UNERGY ENERGY DIGITAL S.A.S E.S.P,Operación,LOS SANTOS,SANTANDER,6.782,-73.182,Solar
12,MINIGRANJA LA RESERVA,UNERGY ENERGY DIGITAL S.A.S E.S.P,Operación,SABANA DE TORRES,SANTANDER,7.3985,-73.498,Solar
13,TERMOCENTRO,ISA INTERCOLOMBIA S.A. E.S.P.,Operación,CIMITARRA,SANTANDER,6.32,-73.95,Térmica
14,HIDROSOGAMOSO,ISAGEN S.A. E.S.P.,Operación,BETULIA,SANTANDER,6.91,-73.76,Hidroeléctrica
