id,nombre,operador,estado,fechaPuestaOperacion,tipoUso,subestacionOrigen,subestacionDestino,voltajeNominalKV,corrienteNominalA,capacidadMW,longitudKm,municipio,departamento,subarea
1,BARBOSA (SANTANDER) - SUAITA 1 115 kV,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,Operación,28/09/2022,Uso STR,BARBOSA (SANTANDER),SUAITA,115.0,478.0,90.45,26.64,BARBOSA,SANTANDER,SubArea Santander
2,BARBOSA (SANTANDER) - TSANTA ROSA 1 115 kV,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,Operación,01/01/1975,Uso STR,BARBOSA (SANTANDER),TSANTA ROSA,115.0,360.0,68.12,39.41,BARBOSA,SANTANDER,SubArea Santander
3,BUCARAMANGA - SOGAMOSO 1 230 kV,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,Operación,11/07/2014,Uso STN,BUCARAMANGA,SOGAMOSO,230.0,900.0,340.61,45.438,BUCARAMANGA,SANTANDER,SubArea Santander
4,BUCARAMANGA - GUATIGUARA 1 230 kV,ISA INTERCOLOMBIA S.A. E.S.P.,Operación,01/01/1980,Uso STN,BUCARAMANGA,GUATIGUARA,230.0,837.0,316.77,12.11,BUCARAMANGA,SANTANDER,SubArea Santander
5,BUCARAMANGA - LOS PALOS 1 230 kV,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,Operación,01/01/1989,Uso STN,BUCARAMANGA,LOS PALOS,230.0,900.0,340.61,23.45,BUCARAMANGA,SANTANDER,SubArea Santander
6,BUCARAMANGA - FLORIDA (BUCARAMANGA) 1 115 KV,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,Operación,30/11/2020,Uso STR,BUCARAMANGA,FLORIDA (BUCARAMANGA),115.0,792.0,149.87,1.65,BUCARAMANGA,SANTANDER,SubArea Santander
7,BUCARAMANGA - REAL DE MINAS 1 115 kV,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,Operación,01/01/2001,Uso STR,BUCARAMANGA,REAL DE MINAS,115.0,530.0,100.29,8.68,BUCARAMANGA,SANTANDER,SubArea Santander
8,BARRANCA - BUENAVISTA 1 115 kV,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,Operación,16/04/2018,Uso STR,BUENAVISTA,BARRANCA,115.0,530.0,100.29,12.12,BARRANCABERMEJA,SANTANDER,SubArea Santander
9,BARRANCA - COMUNEROS 1 230 kV,ISA INTERCOLOMBIA S.A. E.S.P.,Operación,27/02/1997,Uso STN,COMUNEROS,BARRANCA,230.0,809.0,306.17,10.91,BARRANCABERMEJA,SANTANDER,SubArea Santander
10,COMUNEROS - LA CIRA INFANTAS 1 230 KV,ISA INTERCOLOMBIA S.A. E.S.P.,Operación,25/01/2010,Carga,COMUNEROS,LA CIRA INFANTAS,230.0,300.0,113.54,17.3,BARRANCABERMEJA,SANTANDER,SubArea Santander
11,COMUNEROS - GUATIGUARA 1 230 kV,ISA INTERCOLOMBIA S.A. E.S.P.,Operación,07/03/1999,Uso STN,COMUNEROS,GUATIGUARA,230.0,809.0,306.17,95.24,BARRANCABERMEJA,SANTANDER,SubArea Santander
12,COMUNEROS - MERILECTRICA 1 230 kV,CELSIA COLOMBIA S.A. E.S.P.,Operación,24/01/1997,Del OR al STN,COMUNEROS,MERILECTRICA,230.0,896.0,339.09,1.7,BARRANCABERMEJA,SANTANDER,SubArea Santander
13,COMUNEROS - PRIMAVERA 1 230 kV,ISA INTERCOLOMBIA S.A. E.S.P.,Operación,17/06/1999,Uso STN,COMUNEROS,PRIMAVERA,230.0,810.0,306.55,111.6,BARRANCABERMEJA,SANTANDER,SubArea Santander
14,COMUNEROS - PRIMAVERA 2 230 kV,ISA INTERCOLOMBIA S.A. E.S.P.,Operación,04/11/1996,Uso STN,COMUNEROS,PRIMAVERA,230.0,809.0,306.17,101.47,BARRANCABERMEJA,SANTANDER,SubArea Santander
15,CONUCO - FLORIDA (BUCARAMANGA) 1 115 kV,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,Operación,01/03/2021,Uso STR,FLORIDA (BUCARAMANGA),CONUCO,115.0,592.0,112.02,11.812,FLORIDABLANCA,SANTANDER,SubArea Santander
16,FLORIDA (BUCARAMANGA) - RIO FRIO 1 115 KV,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,Operación,30/11/2020,Uso STR,FLORIDA (BUCARAMANGA),RIO FRIO,115.0,584.0,110.51,3.58,FLORIDABLANCA,SANTANDER,SubArea Santander
17,LIZAMA - PALENQUE 1 115 kV,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,Operación,01/01/2001,Uso STR,LIZAMA,PALENQUE,115.0,530.0,100.29,45.64,BARRANCABERMEJA,SANTANDER,SubArea Santander
18,BUENAVISTA - LIZAMA 1 115 kV,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,Operación,16/04/2018,Uso STR,LIZAMA,BUENAVISTA,115.0,530.0,100.29,36.49,BARRANCABERMEJA,SANTANDER,SubArea Santander
19,LIZAMA - SABANA DE TORRES 1 115 kV,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,Operación,01/03/1995,Uso STR,LIZAMA,SABANA DE TORRES,115.0,589.0,111.45,33.11,BARRANCABERMEJA,SANTANDER,SubArea Santander
20,GUATIGUARA - LOS PALOS 1 230 kV,ISA INTERCOLOMBIA S.A. E.S.P.,Operación,14/05/1999,Uso STN,LOS PALOS,GUATIGUARA,230.0,836.0,316.39,30.6,BUCARAMANGA,SANTANDER,SubArea Santander
21,LOS PALOS - PRINCIPAL (BUCARAMANGA) 1 115 KV,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,Operación,29/12/2020,Uso STR,LOS PALOS,PRINCIPAL (BUCARAMANGA),115.0,592.0,112.02,3.977,BUCARAMANGA,SANTANDER,SubArea Santander
22,OCAÑA - SAN ALBERTO 1 115 kV,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,Operación,30/12/2021,Uso STR,OCAÑA,SAN ALBERTO,115.0,324.8,61.46,59.9,OCAÑA,NORTE DE SANTANDER,SubArea Santander
23,OCAÑA - SOGAMOSO 1 500 kV,ISA INTERCOLOMBIA S.A. E.S.P.,Operación,22/08/2014,Uso STN,OCAÑA,SOGAMOSO,500.0,1.905,1.57,163.71,OCAÑA,NORTE DE SANTANDER,SubArea Santander
24,PALENQUE - SAN SILVESTRE 1 115 kV,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,Operación,06/06/2016,Uso STR,PALENQUE,SAN SILVESTRE,115.0,530.0,100.29,80.16,GIRÓN,SANTANDER,SubArea Santander
25,PALENQUE - REAL DE MINAS 1 115 kV,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,Operación,01/01/2001,Uso STR,PALENQUE,REAL DE MINAS,115.0,530.0,100.29,5.12,GIRÓN,SANTANDER,SubArea Santander
26,LOS PALOS - PALENQUE 1 115 kV,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,Operación,25/03/1990,Uso STR,PALENQUE,LOS PALOS,115.0,530.0,100.29,10.69,GIRÓN,SANTANDER,SubArea Santander
